combination_index	tf_count	combination	run	seed	source	final_score	elapsed	single_hit_r	multi_hit_r	fit_xml	single_hit_rates	multi_hit_rates
1	1	ATF1	1	300001	forward	1.438e+05	00:09:48.1587680	0.1003276517	-0.0276994082	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF1\run_01_seed_300001\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF1\run_01_seed_300001\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\1TF\ATF1\run_01.rates.tsv
1	1	ATF1	2	300002	forward	1.438e+05	00:08:56.0245743	0.1029537713	-0.0246861652	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF1\run_02_seed_300002\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF1\run_02_seed_300002\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\1TF\ATF1\run_02.rates.tsv
1	1	ATF1	3	300003	forward	1.438e+05	00:10:11.1168695	0.1017460860	-0.0262293005	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF1\run_03_seed_300003\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF1\run_03_seed_300003\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\1TF\ATF1\run_03.rates.tsv
1	1	ATF1	4	300004	forward	2.502e+05	00:01:35.1680763	0.0970065440	-0.0343737209	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF1\run_04_seed_300004\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF1\run_04_seed_300004\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\1TF\ATF1\run_04.rates.tsv
2	1	ATF4	1	300005	forward	1.377e+05	00:17:37.0167746	0.2277940408	0.2859791957	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF4\run_01_seed_300005\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF4\run_01_seed_300005\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\1TF\ATF4\run_01.rates.tsv
2	1	ATF4	2	300006	forward	2.737e+05	00:08:20.7758851	-0.0460383522	0.0262115674	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF4\run_02_seed_300006\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF4\run_02_seed_300006\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\1TF\ATF4\run_02.rates.tsv
2	1	ATF4	3	300007	forward	1.377e+05	00:18:27.1650951	0.2278161948	0.2860150065	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF4\run_03_seed_300007\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF4\run_03_seed_300007\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\1TF\ATF4\run_03.rates.tsv
2	1	ATF4	4	300008	forward	3.225e+05	00:04:50.4042108	-0.0523806161	0.0853448160	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF4\run_04_seed_300008\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF4\run_04_seed_300008\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\1TF\ATF4\run_04.rates.tsv
3	1	ATF7	1	300009	forward	9.109e+04	00:07:55.7911845	0.6562572414	0.6473001141	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF7\run_01_seed_300009\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF7\run_01_seed_300009\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\1TF\ATF7\run_01.rates.tsv
3	1	ATF7	2	300010	forward	9.095e+04	00:06:30.6331737	0.6591095401	0.6478586176	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF7\run_02_seed_300010\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF7\run_02_seed_300010\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\1TF\ATF7\run_02.rates.tsv
3	1	ATF7	3	300011	forward	9.098e+04	00:07:00.7516402	0.6575405050	0.6467261230	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF7\run_03_seed_300011\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF7\run_03_seed_300011\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\1TF\ATF7\run_03.rates.tsv
3	1	ATF7	4	300012	forward	9.051e+04	00:07:00.7771555	0.6596447673	0.6456540635	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF7\run_04_seed_300012\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF7\run_04_seed_300012\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\1TF\ATF7\run_04.rates.tsv
4	1	CREB1	1	300013	forward	9.051e+04	00:10:06.1457566	0.5813004925	0.5807995164	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB1\run_01_seed_300013\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB1\run_01_seed_300013\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\1TF\CREB1\run_01.rates.tsv
4	1	CREB1	2	300014	forward	9.059e+04	00:09:45.9784045	0.5860500485	0.5866631099	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB1\run_02_seed_300014\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB1\run_02_seed_300014\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\1TF\CREB1\run_02.rates.tsv
4	1	CREB1	3	300015	forward	9.055e+04	00:08:51.1800384	0.5820295042	0.5811977379	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB1\run_03_seed_300015\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB1\run_03_seed_300015\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\1TF\CREB1\run_03.rates.tsv
4	1	CREB1	4	300016	forward	9.057e+04	00:12:01.3979150	0.5855970059	0.5857111952	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB1\run_04_seed_300016\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB1\run_04_seed_300016\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\1TF\CREB1\run_04.rates.tsv
5	1	CREB3	1	300017	forward	1.177e+05	00:08:30.8640539	0.4072081273	0.4402608260	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB3\run_01_seed_300017\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB3\run_01_seed_300017\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\1TF\CREB3\run_01.rates.tsv
5	1	CREB3	2	300018	forward	1.184e+05	00:08:30.9045013	0.4063810343	0.4501093738	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB3\run_02_seed_300018\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB3\run_02_seed_300018\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\1TF\CREB3\run_02.rates.tsv
5	1	CREB3	3	300019	forward	1.186e+05	00:03:35.3762780	0.4078058017	0.4408305172	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB3\run_03_seed_300019\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB3\run_03_seed_300019\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\1TF\CREB3\run_03.rates.tsv
5	1	CREB3	4	300020	forward	1.534e+05	00:08:10.7527712	0.4485702871	0.4630343415	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB3\run_04_seed_300020\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB3\run_04_seed_300020\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\1TF\CREB3\run_04.rates.tsv
6	1	CREB5	1	300021	forward	9.029e+04	00:07:00.6750805	0.6663771583	0.6412995573	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB5\run_01_seed_300021\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB5\run_01_seed_300021\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\1TF\CREB5\run_01.rates.tsv
6	1	CREB5	2	300022	forward	1.171e+05	00:03:40.4533068	0.5661212811	0.5041592693	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB5\run_02_seed_300022\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB5\run_02_seed_300022\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\1TF\CREB5\run_02.rates.tsv
6	1	CREB5	3	300023	forward	9.027e+04	00:07:45.7653316	0.6653872258	0.6408207116	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB5\run_03_seed_300023\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB5\run_03_seed_300023\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\1TF\CREB5\run_03.rates.tsv
6	1	CREB5	4	300024	forward	9.032e+04	00:08:15.6885574	0.6679930732	0.6408696790	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB5\run_04_seed_300024\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB5\run_04_seed_300024\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\1TF\CREB5\run_04.rates.tsv
7	1	CREM	1	300025	forward	9.48e+04	00:06:15.5558517	0.5745309412	0.5850517891	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREM\run_01_seed_300025\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREM\run_01_seed_300025\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\1TF\CREM\run_01.rates.tsv
7	1	CREM	2	300026	forward	4.706e+05	00:01:45.1935604	-0.0709854355	0.0665929776	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREM\run_02_seed_300026\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREM\run_02_seed_300026\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\1TF\CREM\run_02.rates.tsv
7	1	CREM	3	300027	forward	4.705e+05	00:02:40.2493057	-0.0746991219	0.0652591489	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREM\run_03_seed_300027\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREM\run_03_seed_300027\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\1TF\CREM\run_03.rates.tsv
7	1	CREM	4	300028	forward	9.498e+04	00:05:10.4617201	0.5730887580	0.5870222045	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREM\run_04_seed_300028\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREM\run_04_seed_300028\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\1TF\CREM\run_04.rates.tsv
8	2	ATF1+ATF4	1	300029	forward	1.375e+05	00:17:32.0913016	0.0980280962	-0.0443319312	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\2TF\ATF1+ATF4\run_01_seed_300029\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\2TF\ATF1+ATF4\run_01_seed_300029\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\2TF\ATF1+ATF4\run_01.rates.tsv
8	2	ATF1+ATF4	2	300030	forward	2.496e+05	00:03:35.4037944	0.1019377865	-0.0283444059	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\2TF\ATF1+ATF4\run_02_seed_300030\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\2TF\ATF1+ATF4\run_02_seed_300030\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\2TF\ATF1+ATF4\run_02.rates.tsv
8	2	ATF1+ATF4	3	300031	forward	2.496e+05	00:04:30.5250349	0.1022445420	-0.0279230939	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\2TF\ATF1+ATF4\run_03_seed_300031\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\2TF\ATF1+ATF4\run_03_seed_300031\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\2TF\ATF1+ATF4\run_03.rates.tsv
8	2	ATF1+ATF4	4	300032	forward	1.36e+05	00:05:50.6957646	0.2464182966	0.2816425705	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\2TF\ATF1+ATF4\run_04_seed_300032\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\2TF\ATF1+ATF4\run_04_seed_300032\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\2TF\ATF1+ATF4\run_04.rates.tsv
9	2	ATF1+ATF7	1	300033	forward	9.138e+04	00:19:57.2096016	0.6537899155	0.6436283080	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\2TF\ATF1+ATF7\run_01_seed_300033\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\2TF\ATF1+ATF7\run_01_seed_300033\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\2TF\ATF1+ATF7\run_01.rates.tsv
9	2	ATF1+ATF7	2	300034	forward	8.964e+04	00:07:05.6692053	0.6602883682	0.6490447331	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\2TF\ATF1+ATF7\run_02_seed_300034\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\2TF\ATF1+ATF7\run_02_seed_300034\fit.output.rates	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\output\multi_hit_rates\2TF\ATF1+ATF7\run_02.rates.tsv
