combination_index	tf_count	combination	run	seed	source	fit_xml	single_hit_rates
1	1	ATF1	1	300001	forward	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF1\run_01_seed_300001\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF1\run_01_seed_300001\fit.output.rates
1	1	ATF1	2	300002	forward	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF1\run_02_seed_300002\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF1\run_02_seed_300002\fit.output.rates
1	1	ATF1	3	300003	forward	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF1\run_03_seed_300003\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF1\run_03_seed_300003\fit.output.rates
1	1	ATF1	4	300004	forward	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF1\run_04_seed_300004\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF1\run_04_seed_300004\fit.output.rates
2	1	ATF4	1	300005	forward	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF4\run_01_seed_300005\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF4\run_01_seed_300005\fit.output.rates
2	1	ATF4	2	300006	forward	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF4\run_02_seed_300006\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF4\run_02_seed_300006\fit.output.rates
2	1	ATF4	3	300007	forward	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF4\run_03_seed_300007\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF4\run_03_seed_300007\fit.output.rates
2	1	ATF4	4	300008	forward	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF4\run_04_seed_300008\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF4\run_04_seed_300008\fit.output.rates
3	1	ATF7	1	300009	forward	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF7\run_01_seed_300009\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF7\run_01_seed_300009\fit.output.rates
3	1	ATF7	2	300010	forward	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF7\run_02_seed_300010\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF7\run_02_seed_300010\fit.output.rates
3	1	ATF7	3	300011	forward	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF7\run_03_seed_300011\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF7\run_03_seed_300011\fit.output.rates
3	1	ATF7	4	300012	forward	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF7\run_04_seed_300012\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\ATF7\run_04_seed_300012\fit.output.rates
4	1	CREB1	1	300013	forward	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB1\run_01_seed_300013\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB1\run_01_seed_300013\fit.output.rates
4	1	CREB1	2	300014	forward	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB1\run_02_seed_300014\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB1\run_02_seed_300014\fit.output.rates
4	1	CREB1	3	300015	forward	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB1\run_03_seed_300015\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB1\run_03_seed_300015\fit.output.rates
4	1	CREB1	4	300016	forward	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB1\run_04_seed_300016\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB1\run_04_seed_300016\fit.output.rates
5	1	CREB3	1	300017	forward	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB3\run_01_seed_300017\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB3\run_01_seed_300017\fit.output.rates
5	1	CREB3	2	300018	forward	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB3\run_02_seed_300018\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB3\run_02_seed_300018\fit.output.rates
5	1	CREB3	3	300019	forward	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB3\run_03_seed_300019\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB3\run_03_seed_300019\fit.output.rates
5	1	CREB3	4	300020	forward	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB3\run_04_seed_300020\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB3\run_04_seed_300020\fit.output.rates
6	1	CREB5	1	300021	forward	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB5\run_01_seed_300021\fit.xml	C:\Users\LIME\Documents\Fiuer5\figure3_merge_20260614\incoming_forward\Figure3B\artifacts\figure3b_no_self_scrambled_8runs\1TF\CREB5\run_01_seed_300021\fit.output.rates
