panel	tf_count	n_runs	mean_r	median_r	q1_r	q3_r	min_r	max_r
B	1	28	0.3915904841	0.5073457841	0.1026518500	0.6036018467	-0.0746991219	0.6679930732
B	2	84	0.6328240666	0.6690499315	0.5753538064	0.7291665859	0.0980280962	0.8226285656
B	3	140	0.7254523698	0.7398872013	0.6803607465	0.7810440751	0.4288781069	0.8493596536
B	4	140	0.7782068648	0.7749770963	0.7429959985	0.8388319152	0.5727986206	0.8628424654
B	5	84	0.8110486407	0.8384335839	0.7867321418	0.8559434921	0.5100894546	0.8662391938
B	6	28	0.8332392687	0.8544547049	0.8030071488	0.8647092119	0.6911820145	0.8692710209
B	7	4	0.8674722859	0.8688106836	0.8658636095	0.8704193601	0.8606954772	0.8715722994
C	1	28	0.3934922452	0.4835968054	0.0806568564	0.6004718313	-0.0343737209	0.6478586176
C	2	84	0.5950916207	0.6406547768	0.5797912793	0.6709249934	-0.0443319312	0.7746984948
C	3	140	0.6770340337	0.6894832619	0.6454382203	0.7194970456	0.4281693311	0.7925982797
C	4	140	0.7176129586	0.7167131460	0.6858536042	0.7605089968	0.4984055901	0.8021980032
C	5	84	0.7425559736	0.7574630418	0.7255197300	0.7827914867	0.5090449504	0.8058780891
C	6	28	0.7651262858	0.7800209562	0.7440991604	0.7968360158	0.6339322775	0.8036587951
C	7	4	0.7928766149	0.7988402151	0.7896433520	0.8020734780	0.7710917064	0.8027343228
